CityId,CityName,Country,Continent,Housing,CostofLiving,Startups,TravelConnectivity,Commute,BusinessFreedom,Safety,Healthcare,Education,EnvironmentalQuality,Economy,Taxation,InternetAccess,LeisureCulture,Tolerance,Outdoors,Population,Photo,Description
0,Aarhus, Denmark,Europe,6.1315,4.015,2.827,3.536,6.31175,9.94,9.6165,8.704333333,5.3665,7.633,4.8865,5.068,8.373,3.187,9.7385,4.13,291626,https://upload.wikimedia.org/wikipedia/commons/8/8b/Montage_of_Aarhus_-_view_from_city_hall%2C_city_hall_by_night%2C_isbjerget%2C_park_alle.jpg,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. "
1,Adelaide, Australia,Oceania,6.3095,4.692,3.1365,1.7765,5.33625,9.399666667,7.926,7.936666667,5.142,8.33075,6.0695,4.5885,4.341,4.3285,7.822,5.531,1355522,https://upload.wikimedia.org/wikipedia/commons/d/d6/Adelaide%27s_updated_montage.jpg,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. "
2,Albuquerque, United States,North America,7.262,6.059,3.772,1.4555,5.05575,8.671,1.3435,6.43,4.152,7.3195,6.5145,4.346,5.396,4.89,7.0285,3.5155,568301,https://upload.wikimedia.org/wikipedia/commons/d/d2/Abqdowntown.jpg,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality. "
3,Almaty, Kazakhstan,Asia,9.282,9.333,2.4585,4.592,5.87125,5.568,7.309,4.545666667,2.283,3.85675,5.269,8.522,2.886,2.937,6.5395,5.5,1958135,https://upload.wikimedia.org/wikipedia/commons/f/fa/Panfilov_Street.jpg,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation. "
4,Amsterdam, Netherlands,Europe,3.053,3.824,7.9715,8.3245,6.1185,8.836666667,8.5035,7.907333333,6.18,7.59725,5.053,4.955,4.523,8.874,8.368,5.307,1165898,https://upload.wikimedia.org/wikipedia/commons/b/be/KeizersgrachtReguliersgrachtAmsterdam.jpg,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live. "
5,Anchorage, United States,North America,5.4335,3.141,2.7945,1.738,4.71525,8.671,3.4705,6.060333333,3.6245,9.272,6.5145,4.772,4.9645,3.266,7.093,5.358,288121,https://upload.wikimedia.org/wikipedia/commons/6/6e/Anchorage_AK_from_Chugach_State_park.jpg,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance. "
6,Ankara, Turkey,Asia,9.928,9.125,3.9725,2.0475,5.291,5.948333333,7.425,6.914333333,2.0285,2.936,4.0935,4.3235,2.316,8.6385,4.4855,5.1465,5309690,https://upload.wikimedia.org/wikipedia/commons/4/44/Ankara_from_bus_station.jpg,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture."
7,Asheville, United States,North America,5.856,5.311,3.5405,1.2095,1.358,8.671,5.8525,6.725333333,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655,96829,https://upload.wikimedia.org/wikipedia/commons/0/0e/Asheville_at_dusk.jpg,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance. "
8,Asuncion, Paraguay,South America,9.2265,9.295,2.207,0.645,4.96875,3.684,6.9345,5.485333333,0.74494235,3.969,4.109,8.4235,1.479,5.992,7.0515,3.4845,3452315,https://upload.wikimedia.org/wikipedia/commons/9/9d/Palacio_de_Gobierno2.jpg,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation. "
9,Athens, Greece,Europe,9.0525,6.5,4.404,3.707,5.21975,6.169,6.7585,7.153,3.1625,3.80225,3.32,4.1665,2.228,7.876,6.268,6.483,3153781,https://upload.wikimedia.org/wikipedia/commons/8/8e/Athens_Montage_L.png,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities."
10,Atlanta, United States,North America,4.9755,5.241,8.835,5.2915,3.89775,8.671,2.6725,6.023333333,6.457,5.81775,6.5145,4.204,6.4805,7.7655,4.062,5.0095,514457,https://upload.wikimedia.org/wikipedia/commons/4/4f/Atlanta_Montage_2018.png,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare."
11,Auckland, New Zealand,Oceania,4.72,4.47,4.588,1.3045,4.845,10,7.0215,8.162666667,5.0465,8.2725,5.5055,5.9315,6.85,4.396,7.402,5.862,1652341,https://upload.wikimedia.org/wikipedia/commons/8/8d/Auckland_Habour_Bridge_%289380408897%29.jpg,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. "
12,Austin, United States,North America,4.3345,5.355,9.236,1.8515,4.3305,8.671,5.069,6.281666667,5.315,7.03075,6.5145,4.772,9.049,6.698,6.7895,3.909,996147,https://upload.wikimedia.org/wikipedia/commons/d/da/Austin_August_2019_19_%28skyline_and_Lady_Bird_Lake%29.jpg,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare. "
13,Baku, Azerbaijan,Asia,9.745,9.806,2.6705,2.169,5.492,5.671666667,8.772,3.702,1.99154378,2.62125,3.8765,5.861,1.442,6.2195,6.5845,4.503,2401108,https://upload.wikimedia.org/wikipedia/commons/2/28/Montage_of_Baku_2019.jpg,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety."
14,Bali, Indonesia,Asia,5,5.83150493,1.628,1.93,5.1935,3.912333333,8.7475,4.442,0.5275,4.13775,4.6575,6.266,3.2375,6.3335,4.559,7.5005,710136,https://upload.wikimedia.org/wikipedia/commons/4/47/Bali_in_Indonesia_%28special_marker%29.svg,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors. "
15,Baltimore, United States,North America,4.83,4.982,4.65,3.6665,4.93475,5.502,2.373,6.870666667,5.8805,5.7845,6.5145,4.062,4.988,5.78,5.755,3.9795,578658,https://upload.wikimedia.org/wikipedia/commons/8/8e/Fell%27s_Point_waterfront2.jpg,"Baltimore is the largest city in Maryland, which founded by the Bay of Chesapeake. According to researches, it is found to be ahead in healthcare"
16,Bangkok, Thailand,Asia,7.3935,7.222,6.119,4.112,4.2935,5.603666667,7.0365,7.126666667,1.6915,3.37125,2.387,6.7945,4.8265,9.089,6.019,6.494,10899698,https://upload.wikimedia.org/wikipedia/commons/a/af/Bangkok_Montage_2021.jpg,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety."
17,Barcelona, Spain,Europe,6.323,6.074,7.7585,5.806,5.69925,7.119666667,7.4075,8.403333333,5.029,3.6655,4.296,3.894,6.468,8.5915,7.4715,5.828,5658472,https://upload.wikimedia.org/wikipedia/commons/8/8d/Barcelona_collage.JPG,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many."
18,Beijing, China,Asia,6.173,8.101,4.872,7.0175,4.83675,3.815333333,7.066,6.423333333,7.971,2.0555,6.103,1.426,3.493,7.2685,2.822,4.9435,21333332,https://upload.wikimedia.org/wikipedia/commons/0/06/Skyline_of_Beijing_CBD_with_B-5906_approaching_%2820211016171955%29.jpg,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety."
19,Beirut, Lebanon,Asia,6.6555,6.3,3.4095,1.3045,4.77275,4.329,6.833,6.159333333,1.0035,1.449,3.4345,8.2805,1.5905,3.3995,4.184,3.842,2433155,https://upload.wikimedia.org/wikipedia/commons/c/c2/Beirutsunset.jpg,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety. "
20,Belfast, United Kingdom,Europe,7.532,6.014,3.55,4.0985,5.28,8.992,7.679,8.168333333,4.6865,8.3775,5.438,5.9545,5.5955,4.957,5.9795,1.413,638717,https://upload.wikimedia.org/wikipedia/commons/a/a6/Wikibelfast1.jpg,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare. "
21,Belgrade, Serbia,Europe,9.2575,8.546,4.9095,2.1365,5.57825,5.384,6.6995,6.010333333,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078,1405192,https://upload.wikimedia.org/wikipedia/commons/0/02/Beograd_collage.jpg,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance."
22,Bengaluru, India,Asia,9.811,10,10,4.064,4.00625,3.618,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215,3.4845,2.385,13193000,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ubcity2.jpg,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital. "
23,Bergen, Norway,Europe,5.2295,1.805,2.207,3.2425,5.8875,9.635333333,7.7075,7.646666667,4.8395,7.53925,7.0735,4.752,6.537,4.4875,7.6145,4.3135,271949,https://upload.wikimedia.org/wikipedia/commons/c/c7/08-08-01_Fl%C3%B8yen_utsikt.jpg,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. "
24,Berlin, Germany,Europe,6.395,5.524,9.085,7.025,6.196,9.072333333,7.2515,7.990666667,7.019,6.7715,5.3735,3.9035,4.678,8.881,7.1775,5.475,3570750,https://upload.wikimedia.org/wikipedia/commons/8/83/Cityscape_Berlin.jpg,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe."
